5 0 0.00723537 -1.25911
5 1 0.00736495 -1.2825
5 2 0.00729247 -1.23831
5 3 0.00740623 -1.10486
5 4 0.00725465 -1.48041
5 5 0.0074013 -1.2771
5 6 0.00725474 -1.30213
5 7 0.00740073 -1.29123
5 8 0.00736167 -1.24081
5 9 0.00737095 -1.07797
5 10 0.00730273 -1.15679
5 11 0.00739733 -1.13686
5 12 0.00732142 -1.26633
5 13 0.00737312 -1.21019
5 14 0.0073378 -1.33232
5 15 0.00740771 -1.12749
5 16 0.00732197 -1.29853
5 17 0.00737299 -1.18546
5 18 0.00732442 -1.20963
5 19 0.00739946 -1.21144
5 20 0.00733976 -1.34561
5 21 0.00734574 -1.2191
5 22 0.00732525 -1.36776
5 23 0.00733631 -1.33325
5 24 0.00733088 -1.06111
5 25 0.00735618 -1.24599
5 26 0.00732134 -1.3306
5 27 0.00738302 -1.31623
5 28 0.00731866 -1.27847
5 29 0.00732178 -1.24127
5 30 0.00733717 -1.43761
5 31 0.00732478 -1.20079
